DN,AMPL_B0,COUNT_B0,MAX_VAL_B0,MEAN_B0,MEDIAN_B0,MIN_VAL_B0,MODE_B0,N_MOD_B0,STDDEV_B0,SUM_B0,VLDCNT_B0,VARCOEF_B0,VAR_B0,CONTSE_B0,DISSE_B0,ENERGSE_B0,ENTRSE_B0,HOMOGSE_B0,AMPL_B1,COUNT_B1,MAX_VAL_B1,MEAN_B1,MEDIAN_B1,MIN_VAL_B1,MODE_B1,N_MOD_B1,STDDEV_B1,SUM_B1,VLDCNT_B1,VARCOEF_B1,VAR_B1,CONTSE_B1,DISSE_B1,ENERGSE_B1,ENTRSE_B1,HOMOGSE_B1,AMPL_B2,COUNT_B2,MAX_VAL_B2,MEAN_B2,MEDIAN_B2,MIN_VAL_B2,MODE_B2,N_MOD_B2,STDDEV_B2,SUM_B2,VLDCNT_B2,VARCOEF_B2,VAR_B2,CONTSE_B2,DISSE_B2,ENERGSE_B2,ENTRSE_B2,HOMOGSE_B2,AMPL_B3,COUNT_B3,MAX_VAL_B3,MEAN_B3,MEDIAN_B3,MIN_VAL_B3,MODE_B3,N_MOD_B3,STDDEV_B3,SUM_B3,VLDCNT_B3,VARCOEF_B3,VAR_B3,CONTSE_B3,DISSE_B3,ENERGSE_B3,ENTRSE_B3,HOMOGSE_B3,AMPL_B4,COUNT_B4,MAX_VAL_B4,MEAN_B4,MEDIAN_B4,MIN_VAL_B4,MODE_B4,N_MOD_B4,STDDEV_B4,SUM_B4,VLDCNT_B4,VARCOEF_B4,VAR_B4,CONTSE_B4,DISSE_B4,ENERGSE_B4,ENTRSE_B4,HOMOGSE_B4,AMPL_B5,COUNT_B5,MAX_VAL_B5,MEAN_B5,MEDIAN_B5,MIN_VAL_B5,MODE_B5,N_MOD_B5,STDDEV_B5,SUM_B5,VLDCNT_B5,VARCOEF_B5,VAR_B5,CONTSE_B5,DISSE_B5,ENERGSE_B5,ENTRSE_B5,HOMOGSE_B5,BRATIO_B0,BRATIO_B1,BRATIO_B2,BRATIO_B3,BRATIO_B4,BRATIO_B5,P_AREA,P_PERIM,P_FRACDIM,P_PERARAT,P_COMPAC,PBOX_AREA,PBOX_PERIM,PBOX_LEN,PBOX_WIDTH,POL_ANGLE,PELLIP_FIT,PGYRATIUS,POLRADIUS,PCIRCLE,PSAHPEIDX,PDENSITY,PRECTFIT,Treino
"503",26.000000000000000,"974",159.000000000000000,151.065708418891177,151.000000000000000,133.000000000000000,152.000000000000000,"1",2.235790959362738,147138.000000000000000,"974",1.480012229620701,4.998761213968152,2775.356125356125631,12.962962962962965,0.458027605526801,1.966939026287547,1.966939026287547,34.000000000000000,"974",126.000000000000000,117.088295687885008,117.000000000000000,92.000000000000000,117.000000000000000,"1",3.012888820560487,114044.000000000000000,"974",2.573176766183153,9.077499045058364,2995.148860398860506,13.495014245014241,0.409114725926971,2.224809462400002,2.224809462400002,91.000000000000000,"974",169.000000000000000,132.778234086242293,133.000000000000000,78.000000000000000,131.000000000000000,"1",6.073893942817950,129326.000000000000000,"974",4.574465072997452,36.892187628600574,2905.145299145298395,13.518518518518524,0.345434986866619,2.887491004616634,2.887491004616634,149.000000000000000,"974",293.000000000000000,207.238193018480501,207.000000000000000,144.000000000000000,215.000000000000000,"1",12.340690439095344,201850.000000000000000,"974",5.954834029070530,152.292640513579187,2400.725071225071133,12.759259259259261,0.304116875507683,3.781796351549715,3.781796351549715,0.341625653207302,"974",0.412048190832138,0.218378144421555,0.215568855404854,0.070422537624836,0.200000002980232,"1",0.035161882123719,212.700312666594982,"974",16.101374163085861,0.001236357954482,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.219798460602760,"974",-0.202531650662422,-0.277154544142727,-0.274447947740555,-0.422330111265182,-0.295180708169937,"1",0.021970621258480,-269.948525995016098,"974",-7.927209465909146,0.000482708198484,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.248417716094668,0.192544074367603,0.218345155919335,0.340789707578660,0.000359108631932,-0.000455762592198,62336.000000000000000,1536.000000000000000,0.332279949090190,0.024640657084189,0.000098692197553,89856.000000000000000,1264.000000000000000,216.000000000000000,216.000000000000000,1.280659347504686,0.688333834773522,157.780042402439335,239.905382420058515,0.655246189775616,1.538019206668803,259.835770965962638,0.693732193732194,"6"
"1116",21.000000000000000,"712",142.000000000000000,132.953651685393254,133.000000000000000,121.000000000000000,133.000000000000000,"1",1.549679203506519,94663.000000000000000,"712",1.165578518424983,2.401505633780600,4053.415760869564565,18.293478260869566,0.627823254765983,1.236664142248827,1.236664142248827,42.000000000000000,"712",119.000000000000000,106.133426966292134,107.000000000000000,77.000000000000000,107.000000000000000,"1",3.073026893342175,75567.000000000000000,"712",2.895437357655628,9.443494287204262,4315.929347826086087,19.042119565217387,0.529443442283975,1.745990830249320,1.745990830249320,61.000000000000000,"712",118.000000000000000,85.540730337078656,86.000000000000000,57.000000000000000,85.000000000000000,"1",3.676591634671445,60905.000000000000000,"712",4.298059673074574,13.517326048136052,4501.834239130434980,19.379076086956523,0.566111594084171,1.609965556342084,1.609965556342084,120.000000000000000,"712",167.000000000000000,73.171348314606746,71.000000000000000,47.000000000000000,68.000000000000000,"1",11.631900913204017,52098.000000000000000,"712",15.896797286270605,135.301118854596467,4520.395380434782055,19.676630434782609,0.516414283204336,2.242064278369794,2.242064278369794,0.618665546178818,"712",0.320158094167709,-0.081882951003525,-0.095541402697563,-0.298507452011108,-0.111111111938953,"1",0.064072467346623,-58.300661114510149,"712",-78.248849804967051,0.004105281071884,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.613053604960442,"712",0.389610379934311,0.187486770479113,0.202247187495232,-0.223443225026131,0.222857147455215,"1",0.064921296815708,133.490580581128597,"712",34.627134837196579,0.004214774780233,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.334134357453305,0.266730728898027,0.214977900982364,0.183891612927990,-0.000205785300916,0.000471185039229,45568.000000000000000,1280.000000000000000,0.333487525516353,0.028089887640449,0.000131589130793,94208.000000000000000,1248.000000000000000,368.000000000000000,368.000000000000000,1.114378796394418,0.696335076022693,135.404175305942999,218.438243854962792,0.696014588316815,1.499063377991723,208.608159431349151,0.697492163008406,"1"
"2332",56.000000000000000,"7007",180.000000000000000,143.657628086199509,144.000000000000000,124.000000000000000,143.000000000000000,"1",2.427999725899587,1006609.000000000000000,"7007",1.690129343109232,5.895182668968470,2572.291194593520686,11.937388193202146,0.510422723197008,1.843183616340738,1.843183616340738,80.000000000000000,"7007",164.000000000000000,118.739403453689164,119.000000000000000,84.000000000000000,119.000000000000000,"1",4.641934101108554,832007.000000000000000,"7007",3.909345984645277,21.547552199034470,2739.024647187437949,12.474060822898036,0.384270828106220,2.528334697808998,2.528334697808998,87.000000000000000,"7007",153.000000000000000,100.114171542742966,100.000000000000000,66.000000000000000,98.000000000000000,"1",6.691828485494534,701500.000000000000000,"7007",6.684197034620130,44.780568479276063,2832.949016100179051,12.826177698270731,0.334271418591395,3.038731055052026,3.038731055052026,284.000000000000000,"7007",440.000000000000000,314.168831168831161,314.000000000000000,156.000000000000000,313.000000000000000,"1",20.043498488955017,2201381.000000000000000,"7007",6.379849463228212,401.741831676742095,1746.178493341284366,11.120453190220640,0.288003096935430,4.408254430914885,4.408254430914885,0.555068895220757,"7007",0.681222736835480,0.515799436808075,0.517412960529327,0.126153841614723,0.500000000000000,"1",0.036613293047865,3614.206653714179993,"7007",7.098358477170774,0.001340533227809,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.498424723744392,"7007",-0.109090909361839,-0.450464022107262,-0.449541270732880,-0.607515633106232,-0.428571432828903,"1",0.027861051814766,-3156.401402905583836,"7007",-6.184967155519350,0.000776238208225,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.212277223495545,0.175456543592257,0.147934771378087,0.464234917963029,0.000762176528910,-0.000665632957828,448448.000000000000000,6096.000000000000000,0.334858260387965,0.013593549307835,0.000020299101779,643968.000000000000000,3248.000000000000000,688.000000000000000,688.000000000000000,0.609064100025131,0.642025497327354,405.803855767962148,600.322340174536976,0.603910610952664,2.275772898662154,747.012013362052812,0.696382428940568,"2"
"5090",27.000000000000000,"996",152.000000000000000,134.552208835341361,134.000000000000000,125.000000000000000,133.000000000000000,"1",4.706702709171762,134014.000000000000000,"996",3.498049381657943,22.153050392524808,2606.163545568040263,11.900957136912190,0.769485794018310,1.260480869414649,1.260480869414649,49.000000000000000,"996",124.000000000000000,96.263052208835347,95.000000000000000,75.000000000000000,96.000000000000000,"1",8.218564615734303,95878.000000000000000,"996",8.537610669049590,67.544804342999939,2831.528297960881446,12.525384935497296,0.767523385822978,1.511921473458924,1.511921473458924,76.000000000000000,"996",134.000000000000000,77.578313253012041,74.000000000000000,58.000000000000000,70.000000000000000,"1",11.434097449676926,77268.000000000000000,"996",14.738780685249029,130.738584488708398,2946.017478152308740,12.795255930087391,0.767566311125307,1.544546442574801,1.544546442574801,336.000000000000000,"996",461.000000000000000,298.522088353413722,304.000000000000000,125.000000000000000,298.000000000000000,"1",55.364634268589676,297328.000000000000000,"996",18.546243788514811,3065.242727694694622,1726.310653349979248,11.621930919683720,0.766818695385589,2.062337903474938,2.062337903474938,0.427160084247589,"996",0.708661437034607,0.581073336692220,0.594116359949112,0.281501352787018,0.611111104488373,"1",0.063738080285827,578.749043345451355,"996",10.969025123172543,0.004062542878522,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.392309010028839,"996",-0.231527090072632,-0.504166393095710,-0.515313237905502,-0.623836100101471,-0.548235297203064,"1",0.061662821786379,-502.149727523326874,"996",-12.230648974389881,0.003802303590659,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.221670273369731,0.158590165730021,0.127807681904371,0.491805177373075,0.000957298928850,-0.000830597306047,63744.000000000000000,3136.000000000000000,0.363869311969757,0.049196787148594,0.000194857481650,307584.000000000000000,2288.000000000000000,432.000000000000000,432.000000000000000,-0.563480090609589,0.302362871651257,208.453705620933960,421.169287484091228,0.885613162868855,3.105248827569942,151.350067287154218,0.260945138511625,"4"
"5786",20.000000000000000,"6156",149.000000000000000,134.010396361273564,134.000000000000000,129.000000000000000,133.000000000000000,"1",1.940853055259101,824968.000000000000000,"6156",1.448285437516974,3.766910582108588,1132.627067669172902,5.190601503759400,0.720254174840485,1.095272300493962,1.095272300493962,33.000000000000000,"6156",121.000000000000000,98.700454840805719,98.000000000000000,88.000000000000000,98.000000000000000,"1",2.710440707042426,607600.000000000000000,"6156",2.746127878958719,7.346488826392646,1224.197086466165729,5.408082706766918,0.715528098158513,1.205295475383838,1.205295475383838,81.000000000000000,"6156",142.000000000000000,71.602664067576342,70.000000000000000,61.000000000000000,70.000000000000000,"1",4.908159229303144,440786.000000000000000,"6156",6.854715942790868,24.090027020193627,1287.912030075187658,5.592105263157894,0.713515506540639,1.291161880640912,1.291161880640912,303.000000000000000,"6156",544.000000000000000,437.030051981806309,436.000000000000000,241.000000000000000,425.000000000000000,"1",33.912304930990572,2690357.000000000000000,"6156",7.759719217753554,1150.044425732487525,550.841165413533190,4.473308270676690,0.699387552165851,2.494980691880320,2.494980691880320,0.402050375938416,"6156",0.775322258472443,0.717068346993074,0.724409461021423,0.373271882534027,0.714285731315613,"1",0.029703525807743,4414.272744089365005,"6156",4.142356294528989,0.000882299445411,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.218856334686279,"6156",-0.464373469352722,-0.630101956286703,-0.634651601314545,-0.683229804039001,-0.630476176738739,"1",0.024947947820405,-3878.907642900943756,"6156",-3.959350954475220,0.000622400100450,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.180745720982069,0.133121648438127,0.096573665122528,0.589441670057693,0.000967141646393,-0.000849846246811,393984.000000000000000,6320.000000000000000,0.339623949984703,0.016041260558804,0.000025556371967,1361920.000000000000000,4672.000000000000000,1120.000000000000000,1120.000000000000000,-0.682925327976194,0.377724515530852,424.880037908884276,826.429315783744642,0.816381141339190,2.517200413301997,476.730426275313221,0.450256317315691,"2"
"9055",73.000000000000000,"4343",190.000000000000000,130.534883720930225,129.000000000000000,117.000000000000000,128.000000000000000,"1",6.537995548614850,566913.000000000000000,"4343",5.008619429724542,42.745385793707577,2213.244237588652140,10.238475177304968,0.662912459166695,1.813277373325675,1.813277373325675,90.000000000000000,"4343",165.000000000000000,97.594980428275392,96.000000000000000,75.000000000000000,96.000000000000000,"1",10.445319119993528,423855.000000000058208,"4343",10.702721670885536,109.104691518502349,2369.466533687943866,10.780067966903077,0.659233898557323,2.159898958469311,2.159898958469311,176.000000000000000,"4343",231.000000000000000,80.591296338936218,73.000000000000000,55.000000000000000,70.000000000000000,"1",18.999851820082156,350008.000000000000000,"4343",23.575562974165393,360.994369185079222,2433.293735224586271,10.992760047281333,0.659318819440209,2.258012471473179,2.258012471473179,384.000000000000000,"4343",445.000000000000000,269.912502878194800,271.000000000000000,61.000000000000000,290.000000000000000,"1",52.667807206669785,1172230.000000000000000,"4343",19.512918684777464,2773.897915958937574,1667.861258865248601,11.729018912529567,0.657732267063554,3.153135322966679,3.153135322966679,0.719686344265938,"4343",0.703557312488556,0.535175129320046,0.556962013244629,-0.016129031777382,0.600000023841858,"1",0.092263051472530,2324.265586636960052,"4343",17.239786831976428,0.008512470667023,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.745966702699661,"4343",0.134751766920090,-0.460048286809972,-0.470031559467316,-0.611214935779572,-0.500000000000000,"1",0.071921040444033,-1997.989709615707397,"4343",-15.633367736839533,0.005172636058552,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.225562296494274,0.168642643898765,0.139260536045862,0.466404705518276,0.000924774495177,-0.000794956452353,277952.000000000000000,6928.000000000000000,0.352739638328695,0.024925166935298,0.000047277355291,866304.000000000000000,3808.000000000000000,752.000000000000000,752.000000000000000,-1.403454860526103,0.299677270690468,344.208245081905034,730.591660939648591,0.834243522471643,3.285208864438319,380.447813546780367,0.341470690019892,"4"
"10683",60.000000000000000,"11837",191.000000000000000,157.926163723916545,158.000000000000000,131.000000000000000,160.000000000000000,"1",3.652757631552164,1869372.000000000232831,"11837",2.312952803651866,13.342638314862576,1290.453618025353990,6.074280558897012,0.720348964685867,1.324004643742913,1.324004643742913,57.000000000000000,"11837",144.000000000000000,127.705753146912230,128.000000000000000,87.000000000000000,131.000000000000000,"1",4.721691209573536,1511653.000000000000000,"11837",3.697320671326153,22.294367878563992,1384.056930693069489,6.315698158600906,0.717519210107089,1.431246931060935,1.431246931060935,94.000000000000000,"11837",171.000000000000000,141.249894398918656,142.000000000000000,77.000000000000000,143.000000000000000,"1",7.945907508129308,1671975.000000000000000,"11837",5.625425450364188,63.137446127745697,1337.169635421486191,6.290991949662256,0.714629117813757,1.683236507017956,1.683236507017956,282.000000000000000,"11837",453.000000000000000,274.284447072738033,273.000000000000000,171.000000000000000,271.000000000000000,"1",20.891925807177110,3246705.000000000000000,"11837",7.616883140893782,436.472563932592834,996.535116128436584,5.780882761173310,0.712699292366043,2.178531230114945,2.178531230114945,0.516410358250141,"11837",0.632432460784912,0.319034602473850,0.310679614543915,0.116022102534771,0.333333343267441,"1",0.038882447292727,3776.412589482963085,"11837",12.187532948221103,0.001511844707472,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.308606356382370,"11837",-0.250773996114731,-0.363377629376207,-0.359036147594452,-0.559380352497101,-0.333333343267441,"1",0.026714046198934,-4301.300998926162720,"11837",-7.351593504749586,0.000713640264319,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.225247792536669,0.182144860055373,0.201462671916824,0.391207921306068,0.000455034417702,-0.000518280232636,757568.000000000000000,14224.000000000000000,0.353182847813767,0.018775872264932,0.000021571945343,2766592.000000000000000,6656.000000000000000,1616.000000000000000,1616.000000000000000,-0.691550690872277,0.349679031977728,567.430003845412102,1187.105879900992477,0.828883126462231,4.085553872307223,638.163800572854711,0.372007584794056,"6"
"12048",144.000000000000000,"88479",267.000000000000000,158.083093163349503,158.000000000000000,123.000000000000000,154.000000000000000,"1",6.661043867382026,13987034.000000000000000,"88479",4.213634572862940,44.369505403187702,1139.903802072835333,5.461522235399446,0.584337249688221,2.063856840832517,2.063856840832517,159.000000000000000,"88479",237.000000000000000,130.450502379095610,130.000000000000000,78.000000000000000,124.000000000000000,"1",8.677273040523845,11542130.000000000000000,"88479",6.651774337600680,75.295067419801939,1216.676798027477616,5.696921685080928,0.580501704963884,2.253911341950937,2.253911341950937,253.000000000000000,"88479",316.000000000000000,153.373738401202559,153.000000000000000,63.000000000000000,141.000000000000000,"1",15.009475528566075,13570355.000000000000000,"88479",9.786209611259231,225.284355642623865,1167.424846834260507,5.793428990629584,0.576078014624008,2.673038929845401,2.673038929845401,328.000000000000000,"88479",390.000000000000000,240.582025113303757,240.000000000000000,62.000000000000000,233.000000000000000,"1",23.707785021958351,21286457.000000000000000,"88479",9.854345939100401,562.059070647392673,945.028237808849440,5.687307517425966,0.574354827240935,3.132501571302687,3.132501571302687,0.744784563779831,"88479",0.614349782466888,0.220856376194776,0.218509003520012,-0.130434781312943,0.200000002980232,"1",0.045172197093863,19541.151309337583371,"88479",20.453200343206284,0.002040527390287,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.634545855224133,"88479",0.120567373931408,-0.295198945320330,-0.296296298503876,-0.513978481292725,-0.333333343267441,"1",0.033961797222450,-26118.907482997514307,"88479",-11.504714959464550,0.001153403670579,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.231652424615380,0.191160070085332,0.224751411817648,0.352545033887887,0.000323639384918,-0.000432579791165,5662656.000000000000000,55760.000000000000000,0.351422225827232,0.009846969337357,0.000004138019146,13653184.000000000000000,15040.000000000000000,3064.000000000000000,3064.000000000000000,1.370382104939448,0.397762228372982,1290.951017333568416,2498.113213686176096,0.711167490439174,5.858044736999604,2266.773166634940026,0.414749848826472,"6"
"13961",29.000000000000000,"1260",155.000000000000000,134.033333333333331,134.000000000000000,126.000000000000000,133.000000000000000,"1",2.465101937356106,168882.000000000000000,"1260",1.839170806284088,6.076727561556828,2328.668140506018517,10.627855563743552,0.695235146321798,1.243789087397761,1.243789087397761,41.000000000000000,"1260",127.000000000000000,100.864285714285714,100.000000000000000,86.000000000000000,100.000000000000000,"1",3.271145283711944,127089.000000000000000,"1260",3.243115499749821,10.700391467150897,2505.881847211988315,11.060918693195774,0.685597132255644,1.424268753558438,1.424268753558438,64.000000000000000,"1260",125.000000000000000,74.784920634920638,73.000000000000000,61.000000000000000,73.000000000000000,"1",6.328115553555010,94229.000000000000000,"1260",8.461753385347730,40.045046459144821,2634.254482928027755,11.425202652910833,0.681659640421939,1.581403695286528,1.581403695286528,242.000000000000000,"1260",489.000000000000000,387.411904761904793,388.000000000000000,247.000000000000000,395.000000000000000,"1",24.677961107816323,488139.000000000058208,"1260",6.369954253982692,609.001764438895066,1245.179071481208211,8.792434291328902,0.667745694829585,2.561005847649524,2.561005847649524,0.307414144277573,"1260",0.741803288459778,0.675536329429301,0.682608723640442,0.434389144182205,0.689655184745789,"1",0.031799042111973,851.175775080919266,"1260",4.707229015919388,0.001011179079239,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.223901778459549,"1260",-0.425339370965958,-0.585816546423095,-0.590213805437088,-0.649241149425507,-0.600000023841858,"1",0.024788280450427,-738.128848493099213,"1260",-4.231406675311589,0.000614458847689,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.192249537798747,0.144673804841872,0.107267095944139,0.555680872630255,0.000968949617750,-0.000840260832763,80640.000000000000000,3024.000000000000000,0.354687246496198,0.037500000000000,0.000132055352301,260544.000000000000000,2048.000000000000000,472.000000000000000,472.000000000000000,-0.558958002087912,0.416255136309679,187.973998296391557,346.188571539570319,0.785821835220780,2.662235902394827,232.936632313937110,0.519170227041262,"2"
"14288",44.000000000000000,"1081",187.000000000000000,169.607770582793705,170.000000000000000,143.000000000000000,170.000000000000000,"1",5.772836674100304,183346.000000000000000,"1081",3.403639263852186,33.325643265837449,3590.585915492957156,17.157042253521134,0.588227384656907,2.171400463409592,2.171400463409592,50.000000000000000,"1081",160.000000000000000,144.166512488436638,145.000000000000000,110.000000000000000,148.000000000000000,"1",7.722383756428898,155844.000000000000000,"1081",5.356572496021430,59.635210881556880,3818.734154929576107,17.825704225352119,0.585590163946671,2.384735895712240,2.384735895712240,88.000000000000000,"1081",214.000000000000000,182.428307123034216,184.000000000000000,126.000000000000000,186.000000000000000,"1",13.192123555014691,197205.000000000000000,"1081",7.231401619112540,174.032123890773420,3532.453873239435779,17.489788732394377,0.583439972871296,2.753740566625889,2.753740566625889,120.000000000000000,"1081",320.000000000000000,275.247918593894553,278.000000000000000,200.000000000000000,286.000000000000000,"1",17.790435367667214,297543.000000000058208,"1081",6.463422306170288,316.499590571144438,2811.742605633802214,16.011619718309881,0.582991842307237,2.921393232503260,2.921393232503260,0.124856695532799,"1081",0.268421053886414,0.203003358278530,0.203463196754456,0.143564358353615,0.200000002980232,"1",0.016959310925667,219.446630299091339,"1081",8.354202151866682,0.000287618227073,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.108201593160629,"1081",-0.255434781312943,-0.312160573465531,-0.313084125518799,-0.363636374473572,-0.307692319154739,"1",0.012943991622984,-337.445579916238785,"1081",-4.146581190341413,0.000167546919136,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.219886785839911,0.186903648033964,0.236507879100497,0.356843203119592,0.000263182257589,-0.000404698351552,69184.000000000000000,2112.000000000000000,0.343459712855951,0.030527289546716,0.000116060760489,181760.000000000000000,1776.000000000000000,320.000000000000000,320.000000000000000,0.394791803105197,0.442454008278361,167.526312369856129,337.140581426014535,0.806253559536450,2.007386913419163,205.208164817685770,0.498065664148578,"6"
